route_id,from_stop,to_stop,revenue,cost,profit,operating_ratio,daily_passengers,fiscal_year
ふれあい緑区十日市場,十日市場駅前,十日市場駅前,4364,9583,-5219,219.6,81,2024
ふれあい緑区中山,中山駅前,中山駅前,6906,7576,-670,109.7,124,2024
ぶらり三渓園BUS,三渓園,横浜駅前,6990,11310,-4320,161.8,105,2024
聖隷横浜病院循環,聖隷横浜病院,聖隷横浜病院,4058,8048,-3990,198.3,70,2024
291,横浜駅西口,大口駅前,23786,34263,-10477,144.0,413,2024
292,浅間町車庫前,パシフィコ横浜,5427,12136,-6709,223.6,95,2024
293,磯子駅前,磯子駅前,32619,68240,-35621,209.2,564,2024
295,西菅田団地,新横浜駅前,11245,20054,-8809,178.3,189,2024
三井アウトレット線,三井アウトレットパーク横浜,横浜駅前,2624,7167,-4543,273.1,40,2024
300,新横浜駅前,仲町台駅,12713,27923,-15210,219.6,208,2024
301,江田駅,仲町台駅,144567,158348,-13781,109.5,2402,2024
302,仲町台駅,東山田駅,43360,79397,-36037,183.1,732,2024
304,江田駅,センター南駅,57629,66586,-8957,115.5,956,2024
305,中山駅北口,市が尾駅,221341,265047,-43706,119.7,3634,2024
306,センター南駅,市が尾駅,117513,145559,-28046,123.9,1991,2024
318,仲町台駅,都筑ふれあいの丘駅,20278,63647,-43369,313.9,344,2024
321,三井アウトレットパーク横浜,三井アウトレットパーク横浜,13125,35624,-22499,271.4,228,2024
